tiempo,latitude,longitude,altitud,s_vertical,viento_u,viento_v,temperatura,presion,densidad,gravedad,diameter_balloon
0,13.808824999999999,-89.328988,504.0,0.0,0.038616418629502124,0.36104499053375533,284.87399999999997,95415.96740989153,1.1668789968663376,9.805098606132352,1.88881997325474
1,13.808821755892025,-89.3289880040648,505.01319913783897,1.9004852086174875,0.038679144066932715,0.361301031883307,284.867414205604,95404.37795504172,1.166764238485025,9.805095487711622,1.88888189688063
2,13.808818507662837,-89.32898800814142,507.46442836950047,2.8482534295871513,0.038830895504588465,0.36192047185033444,284.8514812155982,95376.34437079827,1.1664866400016654,9.80508794333309,1.88903172261734
3,13.80881525308134,-89.32898801223628,510.49992819583434,3.1679233824511193,0.039018818142218616,0.3626875604147366,284.83175046672704,95341.63805530751,1.1661429443929232,9.805078600702123,1.88921728824262
4,13.808811991363045,-89.3289880163516,513.7216787429304,3.257069186027229,0.03921827124557388,0.3635017156258798,284.8108090881709,95304.81350517205,1.1657782460996602,9.805068684845157,1.88941427324323
5,13.808808722262098,-89.32898802048811,516.9933911932108,3.281696483235312,0.039420817405481465,0.3643284965022449,284.7895429572441,95267.4297532994,1.1654079823971888,9.805058615231568,1.88961434836986
6,13.808805445715121,-89.32898802464598,520.2789129019114,3.2884318617052903,0.03962421847311909,0.36515876705899974,284.76818706613756,95229.90023790537,1.1650362473568536,9.805048503131717,1.88981530382532
7,13.808802159986671,-89.32898802883018,523.5685460850517,3.290039501606383,0.03982787407515482,0.3659900766093984,284.74680445044714,95192.33582932358,1.1646641389518348,9.805038378393343,1.89001654675768
8,13.808798859117173,-89.32898803305784,526.859352051526,3.290566477885396,0.04003160228221447,0.36682168252900665,284.72541421166505,95154.7701106243,1.1642919897986785,9.805028250061099,1.89021789748880
9,13.808795549879207,-89.3289880373095,530.1505124681217,3.2908829258184986,0.040235352432679006,0.3676533780202342,284.7040216689572,95117.21242876537,1.1639198924884573,9.805018120653635,1.89041930598254
10,13.808792238421843,-89.32898804156753,533.4417346219903,3.2911860057788442,0.04043910640519323,0.36848508911283173,284.68262872495706,95079.66612336713,1.1635478801163992,9.805007991071857,1.89062075434184
11,13.808788911155757,-89.32898804587091,536.7333965288188,3.2913938660234665,0.040642887602066156,0.3693169113335749,284.66123292256265,95042.12688176439,1.1631759099595504,9.804997860152326,1.89082226572162
12,13.808785583889675,-89.32898805017429,540.0250584356473,3.2916017262680892,0.040846668798939084,0.37014873355431804,284.6398371201683,95004.59971845361,1.1628040317138575,9.804987729248502,1.89102381321719
13,13.80878225072817,-89.32898805431638,543.3179828936203,3.2917871695042726,0.04094912550817558,0.37080119933841676,284.61843311119145,94967.07024343088,1.1624321027782127,9.804977594474568,1.89122547416416
14,13.808778915164236,-89.32898805839275,546.6114218504997,3.291963477644125,0.0407141587097092,0.37085585753834494,284.5970257579717,94929.54698901139,1.1620602077017632,9.80496745813286,1.89142720278978
15,13.808775579600304,-89.32898806246912,549.9048608073791,3.292139785783977,0.04047919191124282,0.37091051573827316,284.575618404752,94892.03581686382,1.1616884045870337,9.804957321806866,1.89162896759781
16,13.80877224403637,-89.32898806654548,553.1982997642585,3.2923160939238296,0.04024422511277644,0.37096517393820133,284.5542110515323,94854.53672396718,1.1613166934177928,9.804947185496593,1.89183076859747
17,13.80876890847244,-89.32898807062186,556.491738721138,3.2924924020636817,0.040009258314310056,0.37101983213812956,284.5328036983126,94817.04970730066,1.160945074177807,9.804937049202042,1.89203260579798
18,13.808765572908506,-89.32898807469823,559.7851776780172,3.2926687102035337,0.039774291515843684,0.3710744903380577,284.51139634509286,94779.57476384427,1.1605735468508473,9.804926912923206,1.89223447920857
19,13.808762237344572,-89.32898807877459,563.0786166348967,3.292845018343386,0.039539324717377304,0.37112914853798595,284.48998899187313,94742.1118905785,1.160202111420686,9.804916776660086,1.89243638883844
20,13.808758901780639,-89.32898808285096,566.3720555917761,3.293021326483238,0.039304357918910925,0.3711838067379141,284.46858163865346,94704.66108448444,1.1598307678710977,9.804906640412685,1.89263833469684
21,13.808755566216709,-89.32898808692732,569.6654945486555,3.2931976346230907,0.039069391120444545,0.37123846493784235,284.44717428543373,94667.22234254358,1.1594595161858574,9.804896504181004,1.89284031679299
22,13.808752230652773,-89.3289880910037,572.9589335055349,3.2933739427629427,0.03883442432197816,0.3712931231377705,284.425766932214,94629.795661738,1.1590883563487422,9.804886367965043,1.89304233513613
23,13.808748891963177,-89.32898809492269,576.2534820628226,3.293549044710653,0.038599378360284854,0.3713477997527238,284.40435236659164,94592.36843563202,1.1587171633415958,9.80487622834979,1.89324445781630
24,13.808745551447672,-89.32898809874978,579.5486788102859,3.293723442042639,0.03836428615417276,0.3714024871250977,284.38293358773313,94554.94591264313,1.1583459892082795,9.804866086755334,1.89344665656398
25,13.808742210932165,-89.32898810257687,582.8438755577491,3.2938978393746248,0.03812919394806068,0.3714571744974716,284.36151480887463,94517.53545460504,1.1579749069724357,9.804855945176618,1.89364889162510
26,13.80873887041666,-89.32898810640395,586.1390723052123,3.2940722367066106,0.0378941017419486,0.37151186186984547,284.34009603001607,94480.13705849694,1.1576039166178205,9.804845803613635,1.89385116300894
27,13.808735529901156,-89.32898811023104,589.4342690526755,3.294246634038596,0.037659009535836514,0.3715665492422194,284.31867725115757,94442.75072129928,1.157233018128199,9.804835662066386,1.89405347072474
28,13.80873218938565,-89.32898811405812,592.7294658001387,3.294421031370582,0.037423917329724436,0.3716212366145933,284.29725847229906,94405.37643999245,1.156862211487332,9.804825520534873,1.89425581478178
29,13.808728848870144,-89.3289881178852,596.0246625476019,3.294595428702568,0.037188825123612344,0.3716759239869672,284.27583969344056,94368.01421155744,1.1564914966789817,9.804815379019093,1.89445819518933
30,13.80872550835464,-89.3289881217123,599.319859295065,3.2947698260345533,0.036953732917500266,0.3717306113593411,284.25442091458206,94330.66403297597,1.1561208736869153,9.80480523751905,1.89466061195666
31,13.808722167839134,-89.32898812553938,602.6150560425283,3.294944223366539,0.03671864071138818,0.371785298731715,284.23300213572355,94293.32590123022,1.1557503424949,9.804795096034741,1.89486306509304
32,13.808718827323629,-89.32898812936646,605.9102527899914,3.295118620698525,0.0364835485052761,0.3718399861040889,284.21158335686505,94255.99981330287,1.1553799030867051,9.804784954566166,1.89506555460777
33,13.80871383238567,-89.32898813710638,609.2120093020734,3.2952937551184576,0.036247988299935446,0.3718947823428881,284.1901219395365,94218.61149692406,1.1550088182847174,9.8047747929247,1.89526848371573
34,13.808707494828907,-89.32898814802171,612.5190892811502,3.2954694877097546,0.03601204829766736,0.3719496669304094,284.1686259196725,94181.17501385119,1.1546372275175374,9.804764614915317,1.89547177663946
35,13.808701157272145,-89.32898815893705,615.826169260227,3.295645220301052,0.035776108295399275,0.37200455151793066,284.1471298998085,94143.75065248813,1.1542657291482363,9.804754436921783,1.89567510623249
36,13.808694819715383,-89.32898816985238,619.1332492393037,3.2958209528923494,0.03554016829313118,0.372059436105452,284.12563387994453,94106.33840978704,1.1538943231604133,9.804744258944098,1.89587847250421
37,13.808688482158619,-89.3289881807677,622.4403292183805,3.295996685483647,0.0353042282908631,0.3721143206929733,284.1041378600805,94068.93828270049,1.153523009537669,9.804734080982257,1.89608187546401
38,13.808682144601855,-89.32898819168304,625.7474091974573,3.2961724180749443,0.03506828828859501,0.3721692052804946,284.0826418402165,94031.55026818182,1.1531517882636082,9.804723903036265,1.89628531512130
39,13.808675807045091,-89.32898820259837,629.054489176534,3.2963481506662418,0.03483234828632693,0.37222408986801586,284.0611458203525,93994.17436318488,1.152780659321837,9.804713725106122,1.89648879148547
40,13.80866946948833,-89.3289882135137,632.3615691556108,3.296523883257539,0.034596408284058834,0.3722789744555372,284.0396498004885,93956.8105646642,1.1524096226959648,9.804703547191828,1.89669230456593
41,13.808663131931567,-89.32898822442903,635.6686491346876,3.2966996158488366,0.03436046828179075,0.3723338590430585,284.0181537806245,93919.45886957458,1.1520386783695988,9.804693369293386,1.89689585437208
42,13.808656794374803,-89.32898823534435,638.9757291137644,3.2968753484401336,0.03412452827952266,0.3723887436305798,283.9966577607605,93882.11927487155,1.1516678263263513,9.804683191410785,1.89709944091335
43,13.808650456818041,-89.32898824625968,642.2828090928411,3.297051081031431,0.03388858827725458,0.37244362821810106,283.9751617408965,93844.79177751116,1.1512970665498354,9.804673013544035,1.89730306419913
44,13.808644119261277,-89.328988257175,645.5898890719179,3.2972268136227285,0.033652648274986485,0.3724985128056224,283.9536657210325,93807.47637445017,1.1509263990236678,9.804662835693131,1.89750672423886
45,13.808637781704515,-89.32898826809034,648.8969690509947,3.297402546214026,0.0334167082727184,0.3725533973931437,283.9321697011685,93770.17306264547,1.1505558237314617,9.804652657858076,1.89771042104194
