tiempo,latitude,longitude,altitud,s_vertical,viento_u,viento_v,temperatura,presion,densidad,gravedad,diameter_balloon
6701,13.869037545886563,-89.32427781188004,28552.58107878683,-42.76834737384797,-28.94657354464193,1.2138647333511978,225.13958107878685,1489.914156988687,0.02305509795543782,9.71933748157424,0.0
6702,13.869026331196679,-89.32427476134474,28509.8626989659,-42.625752188630656,-28.93844618584932,1.141009691624385,225.0968626989659,1499.4918692596007,0.023207708015400924,9.719467240179139,0.0
6703,13.86901566271919,-89.32427171461023,28467.287535515592,-42.48405937990386,-28.93034607459826,1.0683989015452577,225.05428753551558,1509.10081905286,0.023360844700758165,9.719596566344682,0.0
6704,13.869005540454088,-89.32426867167656,28424.85558843591,-42.343268947667575,-28.922273210888743,0.9960323631138157,225.0118555884359,1518.740798652857,0.023514504801996607,9.719725460044895,0.0
6705,13.868995964401384,-89.3242656325438,28382.56685772685,-42.2033808919218,-28.914227594720778,0.9239100763300652,224.96956685772685,1528.4115968041751,0.023668685050361793,9.719853921253883,0.0
6706,13.868986934561063,-89.32426259721197,28340.421343388425,-42.06439521266655,-28.906209226094365,0.8520320411940124,224.92742134338843,1538.1129987050979,0.023823382117722107,9.719981949945842,0.0
6707,13.86897845093314,-89.32425956568115,28298.419045420622,-41.926311909901806,-28.73409866822714,0.8524003969087162,224.88541904542063,1547.8447860014726,0.023978592616439105,9.720109546095042,0.0
6708,13.868969991810692,-89.32425655152838,28256.55335771855,-41.78910618616729,-28.50991530803236,0.8758584122519011,224.84355335771855,1557.60828240296,0.02413433775694843,9.720236729744718,0.0
6709,13.868960279179367,-89.32425358801328,28214.80809744731,-41.65271729565097,-28.286376815450787,0.899248950176816,224.80180809744732,1567.4071034806914,0.0242906753344463,9.720363550033735,0.0
6710,13.868950610046909,-89.32425064138268,28173.199687945304,-41.517206886947406,-28.063571134557648,0.9225628084239176,224.76019968794532,1577.2372320429463,0.024447541373940056,9.720489957045817,0.0
6711,13.86894098441332,-89.32424771163681,28131.728129212537,-41.38257496005658,-27.84149826535296,0.9457999869932033,224.71872812921254,1587.0984651597446,0.02460493273634601,9.720615950756708,0.0
6712,13.8689314022786,-89.32424479877588,28090.39342124901,-41.2488215149785,-27.620158207836724,0.9689604858846734,224.677393421249,1596.990596510214,0.024762846225760145,9.720741531142215,0.0
6713,13.868921863642747,-89.32424190280013,28049.195564054713,-41.11594655171318,-27.3995509620089,0.9920443050983319,224.63619556405473,1606.9134163764184,0.024921278589329417,9.720866698178234,0.0
6714,13.868912368505761,-89.32423902370974,28008.134557629655,-40.9839500702606,-27.179676527869525,1.0150514446341747,224.59513455762965,1616.8667116375914,0.02508022651712973,9.720991451840732,0.0
6715,13.868902916867643,-89.32423616150496,27967.210401973836,-40.852832070620764,-26.96053490541861,1.0379819044922018,224.55421040197385,1626.8502657645474,0.025239686642047024,9.721115792105762,0.0
6716,13.868892232188013,-89.32423334440237,27926.3339317161,-40.7219482838662,-26.74164862984866,1.06088564545795,224.51333393171612,1636.885819255454,0.02540000639331497,9.721239989869263,0.0
6717,13.868880401870808,-89.32423057047058,27885.51125195503,-40.59134282269749,-26.523050392883864,1.0837592467469042,224.47251125195504,1646.9720544122492,0.025561164992373965,9.721364026572891,0.0
6718,13.868868454481312,-89.32422781697473,27844.814207190266,-40.461534803203406,-26.30512490912522,1.1065624527352504,224.43181420719026,1657.0912174320722,0.025722878955965596,9.721487683906854,0.0
6719,13.868856390019525,-89.32422508391508,27804.24279742181,-40.33252422538394,-26.087872178572773,1.1292952634229847,224.39124279742182,1667.243133796888,0.02588514560511832,9.72161096184936,0.0
6720,13.868844208485443,-89.3242223712919,27763.79702264967,-40.204311089239106,-25.87129220122652,1.151957678810107,224.3507970226497,1677.4276258813682,0.026047962208811084,9.721733860378679,0.0
6721,13.868831909879074,-89.32421967910538,27723.476882873834,-40.076895394768876,-25.655384977086445,1.1745496988966193,224.31047688287384,1687.6445129454316,0.026211325983825712,9.72185637947316,0.0
